日期,物料编码,需求量,销售单价,周
2019-01-02,6004020664,5,3249.146,1
2019-01-02,6004020849,1,2978.15272727273,1
2019-01-02,6004020859,3,2828.26,1
2019-01-02,6004020709,1,16810.05,1
2019-01-02,6004010207,1,995.440989010989,1
2019-01-02,6004010229,1,1237.6052,1
2019-01-02,6004020080,1,3720.54,1
2019-01-02,6004020141,2,227.211538461538,1
2019-01-02,6004020888,1,2354.06766666667,1
2019-01-02,6004020888,1,2335.6275,1
2019-01-03,6004010255,3,1299.47,1
2019-01-03,6004010255,1,1299.47,1
2019-01-03,6004010174,7,1387.685,1
2019-01-03,6004010174,14,1387.685,1
2019-01-03,6004010174,10,1387.685,1
2019-01-03,6004020371,1,1063.21648090039,1
2019-01-03,6004020372,1,3307.46472840431,1
2019-01-03,6004020656,2,79.07825,1
2019-01-03,6004020684,8,8579.495,1
2019-01-03,6004020708,1,16718.1064804671,1
2019-01-03,6004020725,2,5931.035,1
2019-01-03,6004020847,2,2132.65454545455,1
2019-01-03,6004020849,2,2978.15272727273,1
2019-01-03,6004020859,1,2836.2025283483,1
2019-01-03,6004020921,4,2417.085,1
2019-01-03,6004100008,2,1776.04285714286,1
2019-01-04,6004100008,2,1776.04285714286,1
2019-01-07,6004020417,1,538.74,2
2019-01-07,6004020418,2,922.005,2
2019-01-07,6004020887,3,2222.13681818182,2
2019-01-07,6004020918,1,2308.70705821408,2
2019-01-07,6004100008,1,1776.04285714286,2
2019-01-07,6004020372,1,3302.81266666667,2
2019-01-07,6004020418,1,919.9928,2
2019-01-07,6004020725,1,5931.21,2
2019-01-07,6004020725,1,5931.21,2
2019-01-07,6004020887,2,2222.13681818182,2
2019-01-07,6004020920,4,2305.69055555556,2
2019-01-07,6004100008,2,1776.04346153846,2
2019-01-08,6004020918,2,2325.42666666667,2
2019-01-08,6004020919,1,2344.775625,2
2019-01-08,6004100008,1,1776.04346153846,2
2019-01-08,6004100008,2,1776.04346153846,2
2019-01-08,6004010252,10,277.9904,2
2019-01-08,6004020374,2,271.6725,2
2019-01-08,6004020374,1,275.781612432712,2
2019-01-08,6004020375,1,324.71,2
2019-01-08,6004020375,1,324.71,2
2019-01-08,6004020502,1,291.869,2
2019-01-08,6004020503,6,229.999333333333,2
2019-01-08,6004020504,1,3706.81625,2
2019-01-08,6004020622,2,376.745,2
2019-01-08,6004020715,1,1025.81153846154,2
2019-01-08,6004020847,2,2132.65454545455,2
2019-01-08,6004020887,1,2222.13681818182,2
2019-01-08,6004020374,1,271.6725,2
2019-01-08,6004020374,1,275.781612432712,2
2019-01-08,6004020375,1,324.71,2
2019-01-08,6004020502,1,291.869,2
2019-01-08,6004020503,3,229.999333333333,2
2019-01-08,6004020504,1,3706.81625,2
2019-01-08,6004020715,1,1025.81153846154,2
2019-01-08,6004020795,1,7705.13,2
2019-01-08,6004020374,1,275.781612432712,2
2019-01-08,6004020375,1,324.71,2
2019-01-08,6004020502,1,291.869,2
2019-01-08,6004020503,3,229.999333333333,2
2019-01-08,6004020504,1,3706.81625,2
2019-01-08,6004020795,1,7705.13,2
2019-01-08,6004020374,1,275.781612432712,2
2019-01-08,6004020375,1,324.71,2
2019-01-09,6004010174,2,1431.75605673319,2
2019-01-09,6004010174,16,1387.685,2
2019-01-09,6004010174,2,1431.75605673319,2
2019-01-09,6004020770,1,6922.178125,2
2019-01-10,6004020502,1,507.49,2
2019-01-10,6004020934,1,4127.87666666667,2
2019-01-10,6004020034,2,2531.9,2
2019-01-10,6004020041,1,2313.17,2
2019-01-10,6004020061,1,2613.82833333333,2
2019-01-10,6004020066,1,2817.01,2
2019-01-10,6004020372,1,3302.81266666667,2
2019-01-10,6004020374,2,271.673428571429,2
2019-01-10,6004020375,1,324.71,2
2019-01-10,6004020375,1,324.71,2
2019-01-10,6004020503,9,229.999333333333,2
2019-01-10,6004020504,2,3706.81625,2
2019-01-10,6004020705,2,2460.7052746479,2
2019-01-10,6004020810,1,7421.255,2
2019-01-10,6004020847,3,2132.65454545455,2
2019-01-10,6004020061,2,2613.82833333333,2
2019-01-10,6004020374,2,271.673428571429,2
2019-01-10,6004020935,1,5681.93,2
2019-01-11,6004100008,8,1776.04346153846,2
2019-01-11,6004100008,2,1776.04346153846,2
2019-01-11,6004020482,2,4174.106,2
2019-01-11,6004020664,2,3244.64181818182,2
2019-01-12,6004020374,1,275.781612432712,2
2019-01-12,6004020374,6,271.673428571429,2
2019-01-12,6004020375,1,324.71,2
2019-01-12,6004020503,4,229.999,2
2019-01-12,6004020503,7,229.999,2
2019-01-12,6004020504,1,3706.81625,2
2019-01-12,6004020622,3,376.745,2
2019-01-12,6004020714,1,580.598888888889,2
2019-01-12,6004020374,3,275.781612432712,2
2019-01-12,6004020503,10,229.999,2
2019-01-12,6004020504,1,3706.81625,2
2019-01-12,6004020714,2,580.598888888889,2
2019-01-12,6004020375,1,324.71,2
2019-01-12,6004020072,1,137.692466666667,2
2019-01-12,6004020141,2,227.211538461538,2
2019-01-12,6004020371,2,1063.19125,2
2019-01-12,6004020372,1,3313.85166666667,2
2019-01-12,6004020372,1,3302.81266666667,2
2019-01-12,6004020374,2,271.673428571429,2
2019-01-12,6004020418,1,928.70368550251,2
2019-01-12,6004020493,1,737.523636363636,2
2019-01-12,6004020503,3,229.999,2
2019-01-12,6004020505,1,783.131666666667,2
2019-01-12,6004020656,2,79.07825,2
2019-01-12,6004020723,2,4957.44086956522,2
2019-01-12,6004020725,2,5931.21,2
2019-01-12,6004020759,2,6982.9345,2
2019-01-12,6004020763,4,8997.884375,2
2019-01-12,6004020849,2,2978.15272727273,2
2019-01-12,6004020854,1,2880.00266666667,2
2019-01-12,6004020855,1,2900.582,2
2019-01-12,6004020859,10,2836.2025283483,2
2019-01-12,6004020859,1,2836.2025283483,2
